Sample_ID,Season,Site_type,Extreme_Temperature,Flow_m3_s,Water_Temperature_C,pH,DO_mg_L,Turbidity_NTU,TN_mg_L,TP_mg_L,Rainfall_7d_mm,Algae_Bloom
S109,Spring,Agricultural stream,No,6.15,24.8,7.56,6.42,4.36,2.31,0.135,5.1,No
S110,Spring,Urban stream,No,17.45,18.71,7.59,6.83,7.31,1.35,0.04,18.26,No
S111,Summer,Urban stream,Yes,17.72,25.96,6.99,7.94,20.9,1.98,0.119,29.74,No
S112,Spring,Reservoir,No,4.26,17.24,7.2,7.88,16.56,1.41,0.113,15.44,Yes
S113,Winter,Reservoir,No,8.05,9.25,7.22,8.31,9.35,2.4,0.09,10.01,No
S114,Autumn,Urban stream,No,17.38,19.97,7.36,5.77,20.08,0.75,0.062,15.15,No
S115,Autumn,Urban stream,No,8.23,19.72,8.07,5.54,13.75,1.75,0.152,32.1,No
S116,Winter,Reservoir,No,5.24,8.62,7.64,8.18,23.9,2.21,0.183,32.09,No
S117,Autumn,Urban stream,No,7.69,21.8,7.02,6.48,8.44,2.13,0.076,12.15,No
S118,Spring,Reservoir,Yes,3.18,27.0,7.68,4.74,28.87,3.89,0.069,31.72,Yes
S119,Winter,Reservoir,No,4.02,9.3,7.62,7.95,21.86,2.24,0.125,13.1,No
S120,Summer,Urban stream,Yes,6.26,37.31,8.19,6.13,12.98,1.3,0.082,24.04,No
S121,Autumn,Urban stream,No,9.5,17.3,8.18,7.57,12.17,1.93,0.093,19.81,No
S122,Winter,Wetland,No,3.23,4.96,6.89,7.69,14.66,0.76,0.167,9.68,No
S123,Summer,Agricultural stream,No,9.21,18.96,7.12,6.49,6.72,2.54,0.055,5.9,No
S124,Spring,Agricultural stream,Yes,4.67,26.35,7.0,5.11,19.39,2.02,0.216,30.27,Yes
S125,Spring,Reservoir,No,7.08,24.29,7.44,5.58,22.34,2.64,0.104,36.03,Yes
S126,Summer,Wetland,No,8.75,24.42,7.75,5.79,4.48,1.62,0.109,17.95,No
S127,Autumn,Wetland,No,1.01,22.59,7.97,5.88,11.82,1.92,0.126,13.09,No
S128,Winter,Reservoir,No,7.24,10.02,7.37,6.78,4.57,1.56,0.098,4.49,No
S129,Spring,Agricultural stream,Yes,13.84,28.77,7.44,4.98,16.92,3.82,0.063,29.75,Yes
S130,Summer,Urban stream,Yes,,29.36,7.66,5.03,20.63,1.78,0.175,16.48,No
S131,Summer,Reservoir,Yes,14.18,30.22,7.23,2.42,4.59,3.28,0.102,10.83,Yes
S132,Spring,Agricultural stream,No,9.92,22.27,8.46,7.88,21.09,3.17,0.172,24.51,Yes
S133,Spring,Agricultural stream,No,6.38,22.24,6.8,7.08,6.27,2.94,0.198,3.7,No
S134,Summer,Wetland,Yes,5.21,29.8,7.68,5.02,7.05,2.26,0.079,5.44,Yes
S135,Winter,Urban stream,No,11.5,9.54,8.31,7.8,13.32,2.28,0.124,7.49,No
S136,Summer,Agricultural stream,Yes,8.65,,7.58,4.76,16.42,1.25,0.137,19.38,No
S137,Summer,Urban stream,Yes,11.42,33.42,7.55,6.56,15.73,,0.142,15.28,Yes
S138,Autumn,Agricultural stream,No,5.88,23.89,7.38,7.54,20.3,3.19,0.044,21.02,No
S139,Summer,Urban stream,Yes,9.97,30.25,7.52,5.52,17.12,1.97,0.095,28.39,No
S140,Winter,Urban stream,No,5.91,10.14,8.02,8.95,12.64,1.02,0.07,21.56,No
S141,Winter,Urban stream,No,9.03,9.28,6.4,8.05,20.44,1.96,0.122,44.15,No
S142,Summer,Reservoir,Yes,3.42,28.81,8.28,4.04,14.63,3.19,0.124,28.35,Yes
S143,Summer,Reservoir,Yes,3.81,28.28,6.94,5.02,26.2,2.87,0.065,12.13,Yes
S144,Summer,Agricultural stream,Yes,13.89,31.39,7.49,5.21,16.06,2.56,0.114,8.53,No
S145,Summer,Wetland,No,10.07,22.51,7.33,5.72,4.83,2.67,0.124,12.42,No
S146,Spring,Agricultural stream,Yes,10.72,25.72,7.82,5.63,9.33,2.34,0.105,22.08,No
S147,Autumn,Urban stream,No,6.52,20.7,6.79,6.73,12.6,0.81,0.142,9.32,No
S148,Summer,Wetland,No,4.41,23.91,7.75,6.22,18.87,1.35,0.112,22.51,No
S149,Spring,Urban stream,No,14.75,17.61,8.39,6.66,18.08,3.09,0.01,20.75,No
S150,Summer,Wetland,No,5.88,20.2,6.89,5.67,7.34,1.81,0.111,5.82,No
S151,Winter,Urban stream,No,22.98,12.26,7.51,6.93,17.97,1.83,0.048,27.99,No
S152,Spring,Wetland,No,6.82,20.43,7.21,5.44,15.51,1.79,,17.5,No
S153,Spring,Urban stream,No,10.06,15.46,7.65,7.69,25.67,3.33,0.038,42.75,No
S154,Summer,Wetland,No,4.43,22.66,7.54,,1.0,3.14,0.135,13.13,Yes
S155,Winter,Agricultural stream,No,8.85,7.67,7.09,8.58,9.55,4.15,0.216,10.44,No
S156,Spring,Wetland,No,4.9,24.45,7.76,7.34,4.06,1.89,0.146,5.14,No
S157,Autumn,Urban stream,No,12.16,17.74,8.29,6.55,9.16,2.21,0.07,5.07,Yes
S158,Autumn,Agricultural stream,No,12.36,12.46,7.34,5.28,32.52,1.54,0.173,25.75,No
S159,Spring,Wetland,No,3.19,20.3,7.83,5.98,25.82,3.03,0.107,39.95,Yes
S160,Autumn,Agricultural stream,No,5.06,15.45,6.87,7.14,9.96,1.78,0.115,12.28,No
S161,Summer,Reservoir,No,1.73,19.78,7.07,5.68,15.86,2.15,0.042,11.66,Yes
S162,Autumn,Reservoir,No,7.79,15.57,7.67,6.86,14.74,1.23,0.012,14.07,No
S163,Autumn,Agricultural stream,No,5.5,18.26,8.15,8.14,21.28,2.19,0.131,29.29,Yes
S164,Summer,Reservoir,Yes,1.3,33.01,7.79,5.78,11.67,1.41,0.108,5.87,Yes
S165,Spring,Agricultural stream,Yes,9.8,27.24,7.43,4.86,23.46,2.17,0.145,15.95,Yes
S166,Autumn,Wetland,No,20.69,24.17,7.54,4.76,12.11,1.62,0.109,26.15,No
S167,Summer,Urban stream,Yes,9.37,25.55,6.99,5.74,17.01,1.62,0.053,19.21,Yes
S168,Spring,Urban stream,No,12.78,18.3,7.76,6.47,1.53,2.58,0.13,0.37,No
S169,Spring,Wetland,Yes,5.67,30.81,8.01,5.94,18.51,1.23,0.064,21.63,No
S170,Summer,Wetland,Yes,5.07,31.61,7.41,4.69,10.11,2.15,0.169,19.34,Yes
S171,Autumn,Agricultural stream,No,12.17,19.86,7.29,6.71,18.83,3.45,0.1,33.15,No
S172,Spring,Reservoir,Yes,4.98,25.28,7.67,7.8,21.57,1.64,0.062,37.88,Yes
S173,Summer,Urban stream,Yes,10.33,31.54,7.42,6.07,25.3,1.5,0.027,32.05,No
S174,Spring,Urban stream,No,10.54,19.13,7.46,6.7,16.95,1.84,0.075,14.13,No
S175,Autumn,Agricultural stream,No,6.47,15.58,8.4,6.61,1.0,3.43,0.199,2.69,No
S176,Spring,Agricultural stream,No,12.55,18.32,7.37,6.3,11.49,2.74,0.176,11.6,No
S177,Autumn,Agricultural stream,No,7.83,20.63,7.35,7.53,8.66,2.23,0.199,13.79,No
S178,Summer,Urban stream,Yes,7.26,26.18,7.27,5.21,17.54,2.34,0.126,39.62,No
S179,Winter,Wetland,No,7.41,7.51,7.71,8.33,8.08,1.23,0.075,7.04,No
S180,Spring,Wetland,No,2.93,23.46,7.45,6.11,6.18,2.48,0.113,3.82,No
S181,Summer,Reservoir,No,5.98,24.4,7.25,5.55,22.35,2.29,0.061,9.37,Yes
S182,Spring,Agricultural stream,No,8.36,24.68,8.14,4.71,11.49,2.38,0.217,7.38,No
S183,Winter,Urban stream,No,14.05,1.12,7.95,9.3,1.0,1.41,0.04,3.44,No
S184,Winter,Reservoir,No,7.65,13.77,7.17,7.45,8.8,1.38,0.145,12.49,No
S185,Summer,Reservoir,Yes,5.81,31.99,6.78,5.52,17.5,2.37,0.145,14.2,Yes
S186,Autumn,Urban stream,No,12.68,15.42,7.91,6.45,17.9,2.86,0.191,3.23,No
S187,Autumn,Wetland,No,11.81,18.25,7.17,8.02,2.74,1.55,0.11,10.39,No
S188,Summer,Reservoir,Yes,8.0,27.93,7.94,4.78,1.0,2.32,0.136,6.98,Yes
S189,Summer,Wetland,No,5.42,24.88,6.66,7.92,21.91,0.54,0.244,14.56,No
S190,Spring,Reservoir,No,2.59,18.78,7.89,5.28,14.99,1.59,0.069,15.66,Yes
S191,Spring,Reservoir,No,3.08,13.88,6.89,7.73,4.8,1.98,0.023,6.98,No
S192,Winter,Agricultural stream,No,7.44,14.98,7.78,7.64,21.19,1.96,0.056,27.82,No
S193,Winter,Wetland,No,3.62,14.3,7.45,6.73,1.0,1.34,0.166,13.55,No
S194,Autumn,Wetland,No,4.79,22.42,7.09,,9.29,1.53,0.036,7.27,No
S195,Summer,Urban stream,Yes,9.58,28.01,7.4,6.74,9.0,2.2,0.081,3.01,Yes
S196,Summer,Urban stream,No,11.38,22.38,7.83,4.35,,1.87,0.122,16.29,No
S197,Autumn,Agricultural stream,No,8.16,17.06,7.52,7.65,9.62,1.03,0.159,19.31,No
S198,Winter,Reservoir,No,7.7,12.88,7.69,5.58,10.45,0.52,0.121,8.94,No
S199,Winter,Wetland,No,5.61,4.47,8.23,7.7,8.08,1.58,0.141,14.91,No
S200,Autumn,Urban stream,No,5.04,,6.8,7.89,24.32,2.32,0.164,37.88,No
S201,Autumn,Agricultural stream,No,5.84,16.55,8.19,6.82,12.73,0.68,0.102,24.91,No
S202,Spring,Agricultural stream,No,7.93,18.54,7.53,5.66,4.49,2.25,0.116,1.17,No
S203,Spring,Wetland,No,2.29,21.6,7.11,6.32,4.26,1.63,0.091,7.2,No
S204,Winter,Reservoir,No,8.18,12.52,6.83,9.12,14.67,2.97,,12.02,No
S205,Autumn,Reservoir,No,13.21,15.37,7.37,5.58,16.66,1.73,0.145,14.14,No
S206,Spring,Agricultural stream,No,13.79,24.7,7.96,4.87,11.65,2.87,0.173,15.15,No
S207,Spring,Agricultural stream,No,7.71,13.48,7.38,8.56,14.49,2.7,0.209,18.44,No
S208,Autumn,Urban stream,No,16.45,22.4,8.2,8.36,4.31,0.51,0.041,12.34,No
S209,Spring,Urban stream,No,9.9,19.95,6.85,6.38,10.59,2.54,0.183,13.53,No
S210,Spring,Wetland,No,4.35,19.56,7.49,5.5,17.36,2.15,0.206,25.8,No
S211,Summer,Reservoir,Yes,4.11,30.31,,7.16,26.54,2.36,0.137,16.52,Yes
S212,Autumn,Wetland,No,4.45,15.49,7.62,7.89,2.54,4.75,0.219,4.67,No
S213,Autumn,Wetland,No,4.2,22.81,7.93,7.24,19.84,0.54,0.047,14.49,No
S214,Spring,Agricultural stream,No,8.98,19.59,7.31,5.47,16.41,3.81,0.124,12.05,No
S215,Autumn,Reservoir,No,6.44,16.23,6.29,7.06,8.22,1.8,0.063,1.81,No
S216,Spring,Wetland,Yes,5.4,25.7,7.65,5.72,21.57,2.2,0.166,15.05,Yes
S217,Summer,Reservoir,Yes,7.49,25.58,7.75,6.24,10.24,1.97,0.047,5.29,No
S218,Autumn,Urban stream,No,14.63,10.21,7.58,9.15,19.67,1.7,0.138,,No
S219,Autumn,Agricultural stream,No,12.33,10.44,7.96,8.49,13.95,2.2,0.219,18.25,No
S220,Autumn,Urban stream,No,5.79,20.34,7.02,5.53,14.1,2.23,0.135,4.41,No
S221,Autumn,Wetland,No,,14.45,7.75,8.77,22.85,0.94,,25.26,No
S222,Summer,Reservoir,Yes,9.75,33.93,8.18,5.08,17.95,2.53,0.051,33.5,Yes
S223,Spring,Urban stream,No,5.99,12.61,6.63,8.18,4.32,1.71,0.058,10.91,No
S224,Summer,Reservoir,Yes,5.18,35.78,7.8,6.22,10.38,1.21,0.162,11.99,Yes
S225,Summer,Reservoir,Yes,2.86,29.2,7.37,4.57,12.61,1.68,0.139,23.58,Yes
S226,Spring,Agricultural stream,No,4.28,23.66,7.5,5.76,20.02,3.48,0.148,31.85,Yes
S227,Winter,Urban stream,No,11.43,7.37,7.53,7.73,13.3,1.63,0.079,2.48,No
S228,Summer,Reservoir,Yes,8.9,28.23,7.36,4.14,5.94,,0.01,4.94,No
S229,Winter,Agricultural stream,No,6.7,10.74,7.1,8.0,,2.09,0.096,9.52,No
S230,Autumn,Reservoir,No,1.0,20.03,7.52,8.72,10.97,2.53,0.196,10.4,Yes
S231,Autumn,Agricultural stream,No,6.78,21.61,7.03,4.48,20.64,3.08,0.086,23.12,Yes
S232,Summer,Wetland,Yes,6.81,31.16,7.12,,9.15,3.29,0.139,31.96,Yes
S233,Summer,Agricultural stream,Yes,4.8,26.32,7.87,6.3,18.07,2.48,0.2,33.57,No
S234,Summer,Agricultural stream,Yes,9.02,25.92,7.04,5.73,8.14,3.07,0.087,2.41,Yes
S235,Spring,Wetland,No,5.34,19.05,7.79,6.6,14.98,2.07,0.139,6.62,No
S236,Autumn,Agricultural stream,No,10.59,13.84,7.65,5.79,7.19,3.51,0.197,8.1,No
S237,Summer,Urban stream,No,9.8,21.34,6.74,6.77,1.0,1.5,0.101,6.6,No
S238,Spring,Urban stream,No,6.77,23.67,7.23,5.35,17.29,2.52,0.243,18.21,No
S239,Autumn,Reservoir,No,11.16,,8.04,4.67,11.74,1.86,0.017,19.81,No
S240,Spring,Reservoir,No,5.38,18.77,7.05,7.83,6.08,1.96,0.153,13.4,No
S241,Winter,Reservoir,No,5.8,8.89,7.18,8.78,,2.06,0.091,12.44,No
S242,Winter,Urban stream,No,6.86,14.05,7.65,7.32,9.52,2.18,0.139,9.87,No
S243,Winter,Urban stream,No,8.05,5.45,7.71,8.57,7.85,1.92,0.122,10.84,No
S244,Summer,Urban stream,No,6.96,22.79,7.41,7.19,11.89,2.15,0.063,37.6,No
S245,Spring,Agricultural stream,No,7.84,22.81,7.26,6.04,20.34,3.7,0.161,21.9,No
S246,Winter,Agricultural stream,No,16.96,5.86,8.0,8.79,16.95,3.29,0.057,10.17,No
S247,Summer,Agricultural stream,Yes,4.99,28.54,8.37,,14.77,3.21,0.18,12.26,Yes
S248,Winter,Agricultural stream,No,4.57,3.57,7.78,9.68,8.64,2.28,0.165,18.51,No
S249,Winter,Wetland,No,12.33,14.59,7.48,7.69,6.98,1.38,0.162,4.41,No
S250,Winter,Agricultural stream,No,7.72,12.86,7.06,7.31,12.66,3.27,0.203,14.86,No
S251,Summer,Agricultural stream,Yes,6.47,28.94,7.22,4.08,18.47,3.21,0.168,21.07,Yes
S252,Summer,Reservoir,Yes,10.3,29.33,7.83,5.48,17.98,3.03,0.107,19.2,Yes
S253,Winter,Agricultural stream,No,6.63,14.85,7.64,6.42,5.36,2.18,0.106,6.74,No
S254,Summer,Reservoir,Yes,15.31,32.22,8.25,4.6,9.96,1.84,0.064,7.89,Yes
S255,Spring,Wetland,No,8.02,13.17,7.72,6.97,8.99,0.85,0.189,1.56,No
S256,Summer,Wetland,Yes,3.93,28.65,6.91,4.67,23.47,1.73,0.202,22.65,Yes
S257,Winter,Urban stream,No,21.51,5.75,7.83,10.05,31.25,2.7,0.088,48.27,No
S258,Autumn,Wetland,No,3.63,22.22,7.07,7.61,12.61,1.67,0.132,5.91,No
S259,Summer,Agricultural stream,Yes,11.32,30.46,7.43,6.81,19.13,3.05,0.105,28.24,Yes
S260,Spring,Urban stream,No,10.45,20.48,7.62,5.48,33.53,1.87,0.159,45.51,No
S261,Autumn,Agricultural stream,No,14.27,21.98,8.42,6.22,12.14,2.83,0.183,,No
S262,Winter,Wetland,No,12.92,5.27,8.75,7.4,7.22,1.2,0.227,12.27,No
S263,Spring,Agricultural stream,No,8.5,19.7,7.77,5.84,20.28,2.66,0.106,16.13,No
S264,Summer,Agricultural stream,No,6.26,22.45,7.44,5.85,17.94,0.51,0.131,18.77,No
S265,Winter,Reservoir,No,7.59,6.85,7.61,9.33,11.33,1.87,0.112,16.77,No
S266,Autumn,Urban stream,No,7.45,13.41,7.83,7.32,7.96,0.86,0.132,9.68,No
S267,Autumn,Urban stream,No,20.28,15.45,7.31,7.9,16.86,2.84,0.089,20.84,No
S268,Autumn,Urban stream,No,9.86,25.0,8.36,6.41,12.76,2.54,0.056,9.87,No
S269,Summer,Urban stream,No,8.27,22.88,7.63,8.25,14.92,2.33,0.144,17.62,No
S270,Summer,Urban stream,Yes,10.03,38.1,,2.83,13.42,,0.136,13.03,Yes
S271,Autumn,Urban stream,No,6.03,23.53,7.83,7.48,15.46,1.34,0.054,2.13,No
S272,Autumn,Reservoir,No,3.27,20.42,7.69,7.28,25.34,3.22,0.168,31.07,No
S273,Winter,Urban stream,No,14.68,4.29,7.72,7.45,10.59,2.65,0.159,8.08,No
S274,Winter,Agricultural stream,No,6.5,10.92,7.13,8.49,25.63,2.43,0.157,33.16,No
