sample_id,Flow_m3_s,Temperature_C,TN_status,pH,DO_mg_L,Turbidity_NTU,EC_uS_cm,TOC_mg_L
S080,19.2,34.0,Good,7.83,5.21,15.61,424.0,151.91
S081,12.69,23.54,Bad,7.03,5.16,18.43,481.4,81.32
S082,34.03,17.09,Good,7.05,7.16,12.65,420.4,77.41
S083,13.45,19.73,Good,7.61,7.07,7.51,249.2,64.72
S084,16.34,26.71,Bad,7.61,6.24,4.04,364.4,106.67
S085,25.82,17.12,Good,6.81,7.19,8.01,443.6,77.04
S086,11.11,25.44,Bad,7.64,6.56,69.46,508.4,98.62
S087,9.48,7.04,Good,6.89,8.1,8.88,355.1,55.8
S088,20.13,19.17,Good,8.2,5.98,3.41,649.7,75.62
S089,20.75,24.14,Good,6.74,6.17,19.61,221.1,70.75
S090,25.51,27.87,Bad,7.33,3.94,21.24,360.8,138.16
S091,23.04,15.75,Good,6.77,6.79,28.13,411.3,80.34
S092,21.06,11.78,Bad,8.42,8.19,16.55,398.9,91.61
S093,14.05,18.99,Good,6.52,7.64,21.11,290.6,54.35
S094,20.52,13.97,Bad,7.49,6.61,40.29,467.0,88.41
S095,21.03,19.64,Good,6.8,7.02,7.5,459.0,77.2
S096,13.85,20.46,Bad,7.01,7.52,6.6,425.0,80.77
S097,38.1,12.85,Bad,7.45,8.22,5.98,454.8,107.13
S098,22.6,25.17,Bad,7.87,5.37,10.25,375.5,108.6
S099,12.4,19.59,Bad,8.09,7.21,30.93,250.2,77.77
S100,25.56,26.77,Bad,6.35,5.16,17.17,344.8,120.78
S101,27.35,9.8,Bad,7.35,10.16,16.74,436.5,96.85
S102,22.06,14.6,Good,8.0,7.1,3.73,437.1,64.97
S103,16.87,23.5,Good,6.27,5.99,7.76,424.3,78.7
S104,13.62,15.87,Bad,7.37,7.87,3.69,477.6,68.44
S105,18.08,19.55,Bad,7.2,6.6,26.08,359.0,90.15
S106,21.44,20.5,Bad,7.43,4.39,34.15,422.8,98.71
S107,18.77,21.42,Good,6.78,6.36,20.22,480.1,86.14
S108,32.85,16.57,Good,6.41,8.27,6.41,411.1,82.97
S109,24.0,21.37,Good,6.15,7.12,31.92,289.5,90.67
S110,13.03,15.96,Bad,7.74,7.97,10.33,319.0,69.73
S111,11.9,24.41,Good,7.81,4.95,5.53,507.2,80.84
S112,22.68,19.83,Good,7.37,7.15,6.51,566.2,77.67
S113,17.02,21.4,Good,6.91,6.03,9.21,543.4,78.45
S114,24.84,34.0,Good,6.31,4.0,12.58,444.4,160.27
S115,22.6,14.08,Bad,7.51,8.2,10.97,293.7,75.37
S116,18.12,28.55,Good,6.59,4.14,4.86,419.3,103.38
S117,13.09,5.08,Bad,6.81,9.37,26.81,584.0,76.58
S118,9.85,8.45,Good,6.88,9.63,11.05,484.9,53.09
S119,20.37,13.3,Good,7.09,8.1,7.66,398.2,64.11
S120,11.04,13.67,Good,6.78,7.52,25.07,486.0,62.71
S121,12.89,21.68,Good,7.22,5.69,5.65,286.7,61.99
S122,19.88,22.18,Good,6.86,6.08,4.23,347.0,74.45
S123,19.12,19.02,Good,7.59,8.27,27.86,306.2,74.26
S124,11.54,19.63,Bad,7.77,6.46,41.65,469.3,74.95
S125,28.62,23.56,Good,7.26,6.01,9.02,495.0,99.89
S126,28.31,25.33,Bad,7.45,5.71,11.82,403.8,122.96
S127,22.98,12.81,Bad,8.36,7.48,5.78,328.3,70.74
S128,22.96,18.4,Bad,6.56,5.74,12.23,417.9,103.3
S129,22.98,20.1,Good,6.52,5.96,8.94,368.9,85.05
S130,72.39,23.31,Good,7.58,6.27,11.4,336.4,132.69
S131,27.25,16.02,Good,8.27,7.75,15.9,455.6,75.05
S132,24.24,19.98,Good,7.06,7.37,5.97,340.4,80.62
S133,13.51,20.67,Bad,8.15,6.73,9.63,255.5,74.1
S134,16.93,16.41,Good,7.25,7.5,3.77,278.9,63.67
S135,44.5,16.28,Good,6.83,7.14,9.67,251.7,104.9
S136,8.51,21.07,Bad,6.66,7.27,11.46,446.0,78.06
S137,15.34,19.74,Bad,7.55,6.12,14.14,435.8,80.68
S138,28.69,23.4,Good,6.7,5.16,14.24,430.6,91.49
S139,13.84,14.39,Good,7.24,8.49,21.92,481.7,63.18
S140,24.51,18.47,Good,8.07,6.07,4.48,545.2,85.45
S141,19.02,19.17,Good,7.03,8.91,4.64,357.8,60.98
S142,14.22,25.22,Good,7.92,5.72,17.18,462.7,84.94
S143,7.98,15.05,Good,6.53,8.17,3.24,254.1,40.41
S144,20.14,21.86,Good,6.91,5.74,13.72,564.8,85.82
S145,13.4,21.97,Good,6.43,6.12,5.66,289.3,66.76
S146,17.81,30.05,Good,7.24,4.25,33.86,345.4,110.85
S147,22.88,14.66,Good,7.63,7.54,14.34,357.2,74.58
S148,26.35,16.69,Good,7.24,8.03,10.57,259.7,72.43
S149,15.32,15.06,Bad,7.87,7.53,27.06,423.4,77.2
S150,14.21,10.82,Bad,6.79,9.63,6.1,442.5,78.68
S151,10.97,30.74,Good,7.32,6.57,6.91,400.1,119.15
S152,26.88,13.3,Good,6.91,8.04,5.37,258.3,62.1
S153,41.67,15.77,Good,7.4,7.85,6.94,628.3,104.38
S154,28.08,28.13,Bad,7.48,5.31,12.68,477.7,144.76
S155,30.67,10.33,Bad,7.52,10.38,16.79,696.6,101.36
S156,13.89,24.89,Good,6.61,5.66,22.76,335.5,83.72
S157,22.34,12.3,Bad,6.71,7.83,3.72,520.6,88.84
S158,25.44,27.73,Good,6.81,4.09,10.89,501.8,107.8
S159,5.21,7.91,Good,7.07,9.41,5.93,389.5,42.38
S160,12.14,10.33,Bad,7.25,8.57,10.66,568.2,72.38
S161,35.06,17.34,Bad,7.59,8.99,55.55,377.4,114.95
S162,10.21,26.14,Bad,6.73,6.87,14.73,382.1,96.51
S163,32.71,20.32,Bad,6.32,5.9,21.86,120.0,98.9
S164,10.19,18.55,Good,8.39,6.55,43.57,462.9,72.51
S165,12.36,28.31,Bad,6.58,5.03,25.35,280.8,119.68
S166,22.5,33.0,Good,7.66,5.06,9.11,362.2,143.13
S167,19.21,24.4,Bad,7.22,5.88,5.32,312.2,84.35
S168,15.91,16.89,Good,7.34,6.97,11.95,381.5,67.33
S169,34.48,18.07,Bad,7.2,7.18,8.42,466.6,111.61
S170,11.08,13.03,Good,6.99,7.83,4.52,421.2,59.61
S171,17.53,21.08,Bad,7.46,7.04,14.25,494.5,89.43
S172,23.65,11.05,Good,6.96,8.2,14.48,552.9,77.81
S173,20.93,23.7,Bad,7.84,5.58,38.47,381.3,99.74
S174,14.4,32.13,Good,7.51,5.06,9.63,369.8,129.18
S175,14.6,24.66,Good,7.53,5.16,14.62,520.6,83.08
S176,26.18,17.78,Good,6.92,6.13,7.9,528.9,84.02
S177,26.69,23.56,Good,7.07,6.09,21.49,497.8,100.8
S178,21.15,29.9,Bad,6.55,4.33,11.23,320.0,132.71
S179,13.19,29.61,Good,7.01,5.1,5.68,464.4,109.45
S180,14.78,14.68,Bad,6.63,8.22,12.08,431.5,69.26
S181,18.51,23.46,Good,7.92,6.01,15.7,530.5,76.7
S182,19.58,19.58,Good,7.23,6.84,14.38,359.8,73.93
S183,23.27,25.18,Bad,7.29,5.07,24.04,245.0,104.44
S184,17.17,22.72,Bad,7.08,6.27,4.75,492.5,97.19
S185,25.94,6.76,Good,7.31,10.42,7.04,151.4,52.92
S186,25.82,18.48,Good,8.56,6.36,18.46,343.2,89.2
S187,31.11,21.65,Bad,7.03,6.43,7.6,312.6,106.7
S188,18.83,12.18,Good,6.84,9.35,14.24,311.9,60.48
S189,21.29,23.87,Bad,7.49,6.35,2.53,341.4,101.77
S190,17.69,11.66,Bad,5.81,9.68,71.19,547.8,86.61
S191,13.25,15.87,Bad,7.24,7.25,10.22,506.2,87.77
S192,41.24,28.28,Good,7.0,3.51,26.47,393.6,148.18
S193,29.45,15.37,Bad,6.65,7.98,9.79,539.0,102.83
S194,25.6,23.83,Good,7.48,6.25,15.95,308.5,88.45
S195,18.57,10.33,Good,7.23,10.02,32.13,294.2,64.63
S196,12.81,32.57,Good,6.21,4.98,25.99,510.7,134.26
S197,27.48,18.73,Good,6.84,7.51,10.67,480.9,84.6
S198,17.57,21.05,Bad,5.61,7.18,11.16,371.7,89.57
S199,22.06,21.54,Bad,7.36,6.31,23.39,300.8,104.41
S200,14.76,24.02,Bad,7.36,4.94,55.51,573.3,97.33
S201,20.62,11.69,Good,6.76,8.72,13.8,239.4,64.71
S202,15.12,20.47,Good,7.5,7.48,43.47,357.2,74.78
S203,15.35,16.68,Good,6.49,8.06,10.41,444.0,66.82
S204,20.52,10.7,Bad,6.67,9.51,22.62,609.2,92.15
S205,10.14,26.23,Good,7.43,5.09,24.92,460.2,93.96
S206,10.31,18.46,Bad,6.82,6.93,9.33,470.4,80.38
S207,13.82,21.91,Good,7.17,6.77,7.5,360.2,76.26
S208,17.09,21.54,Good,6.89,6.02,25.65,479.7,86.34
S209,26.27,18.56,Bad,6.97,6.7,8.62,431.1,99.72
S210,17.48,31.96,Good,7.0,4.41,6.81,253.2,138.54
S211,18.53,20.23,Bad,6.81,7.36,7.81,503.3,93.02
S212,16.56,11.46,Bad,7.37,8.52,8.6,521.9,76.36
S213,21.28,18.18,Good,6.85,6.27,21.26,504.4,76.8
S214,13.2,23.4,Good,7.21,5.46,17.03,423.5,71.47
S215,17.85,23.59,Bad,6.8,6.17,19.4,319.6,93.45
S216,21.96,14.19,Bad,6.36,8.23,16.02,177.5,77.07
S217,20.45,25.89,Good,7.7,5.7,8.28,436.5,89.36
S218,18.76,10.28,Bad,7.47,9.36,19.17,533.6,75.88
S219,18.86,27.14,Bad,8.46,5.23,26.27,524.5,117.44
S220,22.82,12.85,Bad,6.63,8.59,17.81,505.7,96.27
S221,42.11,19.19,Good,7.09,6.94,16.32,412.2,99.57
S222,13.54,26.67,Bad,7.13,6.25,7.4,534.2,98.23
S223,42.65,21.19,Bad,7.74,7.68,13.98,517.0,120.17
S224,13.31,25.24,Good,6.92,4.7,7.15,375.6,83.64
S225,7.67,24.09,Good,6.56,5.7,11.99,491.0,70.01
S226,15.0,27.96,Bad,7.86,5.07,4.19,363.7,116.83
S227,21.44,26.66,Good,7.03,5.12,4.22,476.7,99.03
S228,38.24,17.87,Bad,7.68,8.7,10.76,283.6,107.65
S229,12.81,24.17,Good,7.62,6.06,8.53,291.7,72.83
S230,22.77,11.65,Good,7.18,7.99,13.06,531.1,80.64
S231,10.7,20.16,Bad,7.1,7.24,11.16,518.4,74.75
S232,37.64,25.25,Good,6.98,5.86,12.42,486.5,112.11
S233,29.68,21.28,Good,7.19,6.76,18.09,429.2,90.04
S234,15.36,23.09,Good,7.67,7.57,9.01,168.9,55.32
S235,9.07,19.26,Bad,6.76,7.24,10.56,412.1,80.54
S236,31.67,27.05,Good,7.26,5.01,31.37,467.7,117.8
S237,17.81,20.03,Good,6.58,5.23,12.21,363.9,72.96
S238,30.34,17.8,Bad,6.65,7.15,10.84,345.2,93.08
S239,18.71,25.64,Good,7.18,6.6,12.85,571.7,99.76
S240,19.03,12.35,Bad,6.12,8.41,10.97,413.7,69.09
S241,15.48,23.41,Good,8.33,4.26,7.68,467.8,83.71
S242,23.97,14.45,Bad,6.54,7.62,6.37,501.3,97.68
S243,19.61,27.91,Good,7.18,5.85,7.42,314.8,105.62
S244,22.97,18.99,Bad,7.84,7.46,21.49,440.3,101.1
S245,9.77,21.28,Good,6.73,5.85,8.09,558.6,76.95
S246,30.79,22.89,Good,5.93,5.71,11.02,611.0,94.11
S247,34.04,9.31,Good,6.96,8.82,19.21,424.2,89.56
S248,19.57,16.73,Good,6.72,6.99,10.17,395.0,69.84
S249,40.79,26.55,Good,5.95,3.73,18.39,448.2,127.99
S250,36.64,25.53,Good,7.36,6.19,4.47,445.6,104.72
S251,24.19,22.14,Bad,7.31,7.33,11.18,565.6,105.6
S252,31.85,12.67,Good,7.83,7.2,12.82,315.4,76.94
S253,28.36,23.9,Good,6.58,6.94,12.37,390.6,88.06
S254,8.9,24.64,Bad,6.32,5.7,4.16,302.7,71.38
S255,16.7,20.77,Bad,6.98,7.61,26.63,313.7,89.46
S256,24.88,27.59,Good,7.15,5.16,6.99,459.5,116.05
S257,35.01,16.54,Good,7.71,7.67,15.15,505.0,90.81
S258,10.43,17.54,Good,7.98,7.64,12.25,351.8,58.65
S259,9.11,6.09,Bad,7.87,9.23,23.39,501.1,70.25
S260,18.25,25.83,Bad,7.35,6.47,50.49,536.7,108.4
S261,7.85,22.32,Good,7.64,5.39,5.27,623.1,73.86
S262,17.99,10.75,Bad,6.85,8.51,7.99,427.3,80.64
S263,21.66,10.3,Bad,7.29,9.35,13.78,352.8,76.02
S264,12.58,15.44,Bad,6.54,7.4,5.94,314.7,71.44
S265,18.19,25.1,Bad,7.23,6.3,20.26,304.3,97.54
S266,27.27,18.76,Good,7.25,8.17,21.08,551.2,87.29
S267,14.97,15.83,Good,8.15,8.53,17.53,260.9,58.31
S268,13.39,14.66,Good,7.07,6.42,14.21,547.9,78.86
S269,17.86,14.4,Good,7.25,8.13,29.68,328.8,65.08
S270,12.08,9.28,Good,7.33,9.98,5.75,348.1,38.92
S271,39.45,13.5,Bad,6.95,7.18,12.71,404.1,111.13
S272,18.94,14.29,Good,6.76,8.63,7.54,346.1,56.98
S273,13.93,24.46,Good,7.91,6.35,21.72,517.9,87.44
S274,20.37,19.54,Good,6.66,5.93,3.7,610.4,88.79
S275,17.82,15.71,Bad,6.47,8.41,11.96,351.0,80.34
S276,17.04,33.9,Good,7.57,3.96,15.15,374.6,155.06
S277,14.97,16.65,Good,7.84,8.06,6.58,402.9,75.0
S278,14.68,27.27,Good,6.95,4.43,8.11,476.8,107.47
S279,9.85,29.9,Good,6.96,4.74,12.3,403.9,115.05
S280,31.82,11.39,Bad,7.36,7.33,22.66,565.7,114.64
S281,23.54,20.93,Bad,6.81,4.77,6.23,540.4,113.26
S282,21.18,17.5,Good,6.77,7.46,6.97,295.5,78.48
S283,17.71,17.03,Bad,7.68,8.33,25.32,474.7,82.5
S284,12.5,23.72,Bad,7.53,6.18,10.2,579.6,81.92
S285,13.6,16.89,Bad,7.92,7.43,7.35,368.0,71.09
S286,10.25,17.62,Good,6.51,7.17,19.56,389.1,69.1
S287,14.25,19.52,Good,6.92,6.15,8.87,364.6,69.94
S288,11.84,18.33,Good,7.35,6.99,23.76,366.8,66.69
S289,35.76,13.69,Bad,6.69,8.52,7.91,244.8,96.75
S290,26.51,25.12,Good,7.55,5.33,10.98,280.5,84.34
S291,19.27,26.58,Good,7.87,5.95,22.52,428.1,102.18
S292,13.01,22.49,Good,6.88,6.41,10.52,578.9,83.75
S293,12.07,18.32,Bad,7.22,7.42,19.91,355.6,80.06
S294,17.26,16.41,Good,8.0,8.3,11.67,352.5,69.8
S295,26.97,16.42,Bad,8.19,7.17,44.17,598.7,117.32
S296,10.35,34.0,Bad,7.61,4.25,33.77,303.6,153.62
S297,23.42,25.94,Good,7.53,5.18,5.14,245.6,87.41
S298,14.23,15.63,Bad,6.73,8.03,17.11,333.0,81.15
S299,15.24,21.46,Good,7.4,5.96,7.17,350.4,77.1
S300,19.04,18.4,Bad,7.51,6.42,13.8,236.5,83.97
S301,13.18,23.89,Good,7.08,6.02,12.74,406.6,73.46
S302,16.91,23.65,Bad,6.87,4.49,6.13,519.6,93.52
S303,12.76,26.78,Bad,6.5,5.07,24.24,285.0,97.06
S304,14.68,15.57,Bad,6.24,6.49,13.9,429.2,86.95
S305,25.25,21.11,Bad,6.13,7.18,10.12,461.6,105.46
S306,19.44,10.36,Good,7.52,9.76,9.16,411.2,54.6
S307,25.21,13.21,Bad,7.28,7.6,13.34,439.5,97.75
S308,14.15,25.63,Bad,6.93,5.9,15.88,440.7,101.97
S309,23.49,14.99,Good,7.02,8.62,11.23,334.7,64.4
S310,9.4,15.62,Good,7.32,8.48,1.93,577.4,51.86
S311,19.04,20.45,Bad,7.11,6.87,12.32,551.0,94.11
S312,24.12,24.53,Bad,6.46,6.39,4.77,544.9,103.73
S313,9.27,14.35,Bad,7.7,7.52,10.63,526.4,84.43
S314,14.22,5.0,Good,7.37,10.17,4.89,254.6,48.93
S315,19.03,15.45,Bad,7.35,7.43,4.85,517.2,85.11
S316,27.8,27.49,Good,7.66,4.56,27.19,488.8,125.19
S317,14.68,22.49,Bad,6.75,6.28,9.89,258.7,86.49
S318,23.11,28.18,Good,7.87,5.28,9.41,397.4,117.79
S319,32.71,13.94,Bad,7.12,9.07,16.67,449.1,102.29
S320,23.55,10.99,Bad,7.69,8.99,9.57,594.8,85.41
